n,data_type,algorithm,correctness_rate,avg_natural_run_count,avg_natural_normalized_run_count,avg_natural_run_cv,avg_natural_max_run_ratio,avg_natural_max_to_avg_ratio,avg_natural_run_entropy_bound_nH,avg_adjusted_run_count,avg_adjusted_normalized_run_count,avg_adjusted_run_cv,avg_adjusted_max_run_ratio,avg_adjusted_max_to_avg_ratio,avg_adjusted_run_entropy_bound_nH,avg_minrun,avg_insertion_ratio,avg_extended_run_count,avg_weighted_merge_workload,avg_merge_comparisons,run_count_retention_ratio,entropy_retention_ratio,run_cv_change,max_run_ratio_change
1000,alternating_minrun_large_runs,powersort_style_with_minrun,1.0,6.0,0.006,0.6316518028154435,0.307,1.842,2279.066180148,6.0,0.006,0.6316518028154435,0.307,1.842,2279.066180148,63.0,0.0,0.0,2630.0,1307.0,1.0,1.0,0.0,0.0
1000,alternating_minrun_large_runs,powersort_style_without_minrun,1.0,6.0,0.006,0.6316518028154435,0.307,1.842,2279.066180148,6.0,0.006,0.6316518028154435,0.307,1.842,2279.066180148,0.0,0.0,0.0,2630.0,1307.0,1.0,1.0,0.0,0.0
1000,alternating_minrun_large_runs,timsort_style_with_minrun,1.0,6.0,0.006,0.6316518028154435,0.307,1.842,2279.066180148,6.0,0.006,0.6316518028154435,0.307,1.842,2279.066180148,63.0,0.0,0.0,2630.0,1496.0,1.0,1.0,0.0,0.0
1000,alternating_minrun_large_runs,timsort_style_without_minrun,1.0,6.0,0.006,0.6316518028154435,0.307,1.842,2279.066180148,6.0,0.006,0.6316518028154435,0.307,1.842,2279.066180148,0.0,0.0,0.0,2630.0,1496.0,1.0,1.0,0.0,0.0
1000,alternating_small_large_raw_runs,powersort_style_with_minrun,1.0,32.0,0.032,0.9849751265894993,0.064,2.048,4149.784284662086,16.0,0.016,0.030983866769659335,0.063,1.008,3999.2799727108104,63.0,1.0,16.0,4000.0,2584.0,0.5,0.9637320155393255,-0.9539912598198399,-0.0010000000000000009
1000,alternating_small_large_raw_runs,powersort_style_without_minrun,1.0,32.0,0.032,0.9849751265894993,0.064,2.048,4149.784284662086,32.0,0.032,0.9849751265894993,0.064,2.048,4149.784284662086,0.0,0.0,0.0,5008.0,2620.0,1.0,1.0,0.0,0.0
1000,alternating_small_large_raw_runs,timsort_style_with_minrun,1.0,32.0,0.032,0.9849751265894993,0.064,2.048,4149.784284662086,16.0,0.016,0.030983866769659335,0.063,1.008,3999.2799727108104,63.0,1.0,16.0,4000.0,2584.0,0.5,0.9637320155393255,-0.9539912598198399,-0.0010000000000000009
1000,alternating_small_large_raw_runs,timsort_style_without_minrun,1.0,32.0,0.032,0.9849751265894993,0.064,2.048,4149.784284662086,32.0,0.032,0.9849751265894993,0.064,2.048,4149.784284662086,0.0,0.0,0.0,5000.0,2856.0,1.0,1.0,0.0,0.0
1000,balanced_runs,powersort_style_with_minrun,1.0,8.0,0.008,0.0,0.125,1.0,3000.0,8.0,0.008,0.0,0.125,1.0,3000.0,63.0,0.0,0.0,3000.0,1500.0,1.0,1.0,0.0,0.0
1000,balanced_runs,powersort_style_without_minrun,1.0,8.0,0.008,0.0,0.125,1.0,3000.0,8.0,0.008,0.0,0.125,1.0,3000.0,0.0,0.0,0.0,3000.0,1500.0,1.0,1.0,0.0,0.0
1000,balanced_runs,timsort_style_with_minrun,1.0,8.0,0.008,0.0,0.125,1.0,3000.0,8.0,0.008,0.0,0.125,1.0,3000.0,63.0,0.0,0.0,3000.0,1500.0,1.0,1.0,0.0,0.0
1000,balanced_runs,timsort_style_without_minrun,1.0,8.0,0.008,0.0,0.125,1.0,3000.0,8.0,0.008,0.0,0.125,1.0,3000.0,0.0,0.0,0.0,3000.0,1500.0,1.0,1.0,0.0,0.0
1000,duplicate_heavy,powersort_style_with_minrun,1.0,402.6,0.40259999999999996,0.32116239867768764,0.0068000000000000005,2.7354,8588.741661084825,16.0,0.016,0.030983866769659335,0.063,1.008,3999.2799727108104,63.0,1.0,16.0,4000.0,3791.4,0.03974167908594138,0.4656421313533454,-0.29017853190802834,0.0562
1000,duplicate_heavy,powersort_style_without_minrun,1.0,402.6,0.40259999999999996,0.32116239867768764,0.0068000000000000005,2.7354,8588.741661084825,402.6,0.40259999999999996,0.32116239867768764,0.0068000000000000005,2.7354,8588.741661084825,0.0,0.0,0.0,8670.8,7791.8,1.0,1.0,0.0,0.0
1000,duplicate_heavy,timsort_style_with_minrun,1.0,402.6,0.40259999999999996,0.32116239867768764,0.0068000000000000005,2.7354,8588.741661084825,16.0,0.016,0.030983866769659335,0.063,1.008,3999.2799727108104,63.0,1.0,16.0,4000.0,3791.4,0.03974167908594138,0.4656421313533454,-0.29017853190802834,0.0562
1000,duplicate_heavy,timsort_style_without_minrun,1.0,402.6,0.40259999999999996,0.32116239867768764,0.0068000000000000005,2.7354,8588.741661084825,402.6,0.40259999999999996,0.32116239867768764,0.0068000000000000005,2.7354,8588.741661084825,0.0,0.0,0.0,9234.0,8320.8,1.0,1.0,0.0,0.0
1000,exponential_runs,powersort_style_with_minrun,1.0,6.0,0.006,1.0313815976640268,0.508,3.048,1882.274962941137,5.0,0.005,0.8457600132425271,0.508,2.54,1854.8455317102555,63.0,0.126,2.0,1856.0,967.0,0.8333333333333334,0.9854275109795746,-0.18562158442149967,0.0
1000,exponential_runs,powersort_style_without_minrun,1.0,6.0,0.006,1.0313815976640268,0.508,3.048,1882.274962941137,6.0,0.006,1.0313815976640268,0.508,3.048,1882.274962941137,0.0,0.0,0.0,1889.0,984.0,1.0,1.0,0.0,0.0
1000,exponential_runs,timsort_style_with_minrun,1.0,6.0,0.006,1.0313815976640268,0.508,3.048,1882.274962941137,5.0,0.005,0.8457600132425271,0.508,2.54,1854.8455317102555,63.0,0.126,2.0,1856.0,967.0,0.8333333333333334,0.9854275109795746,-0.18562158442149967,0.0
1000,exponential_runs,timsort_style_without_minrun,1.0,6.0,0.006,1.0313815976640268,0.508,3.048,1882.274962941137,6.0,0.006,1.0313815976640268,0.508,3.048,1882.274962941137,0.0,0.0,0.0,1889.0,984.0,1.0,1.0,0.0,0.0
1000,many_tiny_runs,powersort_style_with_minrun,1.0,500.0,0.5,0.0,0.002,1.0,8965.784284662017,16.0,0.016,0.030983866769659335,0.063,1.008,3999.2799727108104,63.0,1.0,16.0,4000.0,1992.0,0.032,0.44606024924695936,0.030983866769659335,0.061
1000,many_tiny_runs,powersort_style_without_minrun,1.0,500.0,0.5,0.0,0.002,1.0,8965.784284662017,500.0,0.5,0.0,0.002,1.0,8965.784284662017,0.0,0.0,0.0,8976.0,4472.0,1.0,1.0,0.0,0.0
1000,many_tiny_runs,timsort_style_with_minrun,1.0,500.0,0.5,0.0,0.002,1.0,8965.784284662017,16.0,0.016,0.030983866769659335,0.063,1.008,3999.2799727108104,63.0,1.0,16.0,4000.0,1992.0,0.032,0.44606024924695936,0.030983866769659335,0.061
1000,many_tiny_runs,timsort_style_without_minrun,1.0,500.0,0.5,0.0,0.002,1.0,8965.784284662017,500.0,0.5,0.0,0.002,1.0,8965.784284662017,0.0,0.0,0.0,8984.0,4432.0,1.0,1.0,0.0,0.0
1000,near_minrun_boundary,powersort_style_with_minrun,1.0,16.0,0.016,0.030983866769659335,0.064,1.024,3999.2910390749703,16.0,0.016,0.030983866769659335,0.063,1.008,3999.2799727108104,63.0,0.559,9.0,4000.0,1992.0,1.0,0.9999972329185218,0.0,-0.0010000000000000009
1000,near_minrun_boundary,powersort_style_without_minrun,1.0,16.0,0.016,0.030983866769659335,0.064,1.024,3999.2910390749703,16.0,0.016,0.030983866769659335,0.064,1.024,3999.2910390749703,0.0,0.0,0.0,4000.0,1992.0,1.0,1.0,0.0,0.0
1000,near_minrun_boundary,timsort_style_with_minrun,1.0,16.0,0.016,0.030983866769659335,0.064,1.024,3999.2910390749703,16.0,0.016,0.030983866769659335,0.063,1.008,3999.2799727108104,63.0,0.559,9.0,4000.0,1992.0,1.0,0.9999972329185218,0.0,-0.0010000000000000009
1000,near_minrun_boundary,timsort_style_without_minrun,1.0,16.0,0.016,0.030983866769659335,0.064,1.024,3999.2910390749703,16.0,0.016,0.030983866769659335,0.064,1.024,3999.2910390749703,0.0,0.0,0.0,4000.0,1992.0,1.0,1.0,0.0,0.0
1000,nearly_sorted,powersort_style_with_minrun,1.0,39.4,0.039400000000000004,0.9023463214356617,0.0964,3.7962,4769.547915824679,16.0,0.016,0.0645580661579638,0.0696,1.1136,3996.041433344235,63.0,0.943,15.2,4000.0,3528.4,0.40609137055837563,0.8378239413605512,-0.837788255277698,-0.026800000000000004
1000,nearly_sorted,powersort_style_without_minrun,1.0,39.4,0.039400000000000004,0.9023463214356617,0.0964,3.7962,4769.547915824679,39.4,0.039400000000000004,0.9023463214356617,0.0964,3.7962,4769.547915824679,0.0,0.0,0.0,5023.8,4293.6,1.0,1.0,0.0,0.0
1000,nearly_sorted,timsort_style_with_minrun,1.0,39.4,0.039400000000000004,0.9023463214356617,0.0964,3.7962,4769.547915824679,16.0,0.016,0.0645580661579638,0.0696,1.1136,3996.041433344235,63.0,0.943,15.2,4159.0,3707.2,0.40609137055837563,0.8378239413605512,-0.837788255277698,-0.026800000000000004
1000,nearly_sorted,timsort_style_without_minrun,1.0,39.4,0.039400000000000004,0.9023463214356617,0.0964,3.7962,4769.547915824679,39.4,0.039400000000000004,0.9023463214356617,0.0964,3.7962,4769.547915824679,0.0,0.0,0.0,5244.8,4690.2,1.0,1.0,0.0,0.0
1000,one_huge_tail_minrun_aware,powersort_style_with_minrun,1.0,6.0,0.006,1.3908342820048694,0.685,4.11,1630.2683869338096,6.0,0.006,1.3908342820048694,0.685,4.11,1630.2683869338096,63.0,0.0,0.0,1819.0,1000.0,1.0,1.0,0.0,0.0
1000,one_huge_tail_minrun_aware,powersort_style_without_minrun,1.0,6.0,0.006,1.3908342820048694,0.685,4.11,1630.2683869338096,6.0,0.006,1.3908342820048694,0.685,4.11,1630.2683869338096,0.0,0.0,0.0,1819.0,1000.0,1.0,1.0,0.0,0.0
1000,one_huge_tail_minrun_aware,timsort_style_with_minrun,1.0,6.0,0.006,1.3908342820048694,0.685,4.11,1630.2683869338096,6.0,0.006,1.3908342820048694,0.685,4.11,1630.2683869338096,63.0,0.0,0.0,1819.0,1000.0,1.0,1.0,0.0,0.0
1000,one_huge_tail_minrun_aware,timsort_style_without_minrun,1.0,6.0,0.006,1.3908342820048694,0.685,4.11,1630.2683869338096,6.0,0.006,1.3908342820048694,0.685,4.11,1630.2683869338096,0.0,0.0,0.0,1819.0,1000.0,1.0,1.0,0.0,0.0
1000,one_huge_tail_raw_runs,powersort_style_with_minrun,1.0,101.0,0.101,7.980000000000001,0.8,80.8,2050.699332842309,5.0,0.005,1.37,0.748,3.7400000000000007,1318.432687944156,63.0,0.252,4.0,1504.0,1054.0,0.04950495049504951,0.6429185726201914,-6.610000000000001,-0.052000000000000046
1000,one_huge_tail_raw_runs,powersort_style_without_minrun,1.0,101.0,0.101,7.980000000000001,0.8,80.8,2050.699332842309,101.0,0.101,7.980000000000001,0.8,80.8,2050.699332842309,0.0,0.0,0.0,2368.0,1428.0,1.0,1.0,0.0,0.0
1000,one_huge_tail_raw_runs,timsort_style_with_minrun,1.0,101.0,0.101,7.980000000000001,0.8,80.8,2050.699332842309,5.0,0.005,1.37,0.748,3.7400000000000007,1318.432687944156,63.0,0.252,4.0,1504.0,1054.0,0.04950495049504951,0.6429185726201914,-6.610000000000001,-0.052000000000000046
1000,one_huge_tail_raw_runs,timsort_style_without_minrun,1.0,101.0,0.101,7.980000000000001,0.8,80.8,2050.699332842309,101.0,0.101,7.980000000000001,0.8,80.8,2050.699332842309,0.0,0.0,0.0,2376.0,1432.0,1.0,1.0,0.0,0.0
1000,random,powersort_style_with_minrun,1.0,417.6,0.4176,0.27943549313648336,0.0056,2.3402000000000003,8655.724147670562,16.0,0.016,0.030983866769659335,0.063,1.008,3999.2799727108104,63.0,1.0,16.0,4000.0,3970.0,0.038314176245210725,0.4620387508290801,-0.24845162636682402,0.0574
1000,random,powersort_style_without_minrun,1.0,417.6,0.4176,0.27943549313648336,0.0056,2.3402000000000003,8655.724147670562,417.6,0.4176,0.27943549313648336,0.0056,2.3402000000000003,8655.724147670562,0.0,0.0,0.0,8725.4,8064.0,1.0,1.0,0.0,0.0
1000,random,timsort_style_with_minrun,1.0,417.6,0.4176,0.27943549313648336,0.0056,2.3402000000000003,8655.724147670562,16.0,0.016,0.030983866769659335,0.063,1.008,3999.2799727108104,63.0,1.0,16.0,4000.0,3970.0,0.038314176245210725,0.4620387508290801,-0.24845162636682402,0.0574
1000,random,timsort_style_without_minrun,1.0,417.6,0.4176,0.27943549313648336,0.0056,2.3402000000000003,8655.724147670562,417.6,0.4176,0.27943549313648336,0.0056,2.3402000000000003,8655.724147670562,0.0,0.0,0.0,9172.4,8456.0,1.0,1.0,0.0,0.0
1000,skewed_runs,powersort_style_with_minrun,1.0,8.0,0.008,1.7265456843072529,0.696,5.568,1739.5331000824874,6.0,0.006,1.4205548211878347,0.696,4.176,1590.7982054860565,63.0,0.304,5.0,1786.0,880.0,0.75,0.9144972322806746,-0.30599086311941814,0.0
1000,skewed_runs,powersort_style_without_minrun,1.0,8.0,0.008,1.7265456843072529,0.696,5.568,1739.5331000824874,8.0,0.008,1.7265456843072529,0.696,5.568,1739.5331000824874,0.0,0.0,0.0,1998.0,866.0,1.0,1.0,0.0,0.0
1000,skewed_runs,timsort_style_with_minrun,1.0,8.0,0.008,1.7265456843072529,0.696,5.568,1739.5331000824874,6.0,0.006,1.4205548211878347,0.696,4.176,1590.7982054860565,63.0,0.304,5.0,1808.0,713.0,0.75,0.9144972322806746,-0.30599086311941814,0.0
1000,skewed_runs,timsort_style_without_minrun,1.0,8.0,0.008,1.7265456843072529,0.696,5.568,1739.5331000824874,8.0,0.008,1.7265456843072529,0.696,5.568,1739.5331000824874,0.0,0.0,0.0,1912.0,736.0,1.0,1.0,0.0,0.0
5000,alternating_minrun_large_runs,powersort_style_with_minrun,1.0,50.0,0.01,0.6,0.032,1.6,26828.921423310454,50.0,0.01,0.6,0.032,1.6,26828.921423310454,40.0,0.0,0.0,28600.0,14360.0,1.0,1.0,0.0,0.0
5000,alternating_minrun_large_runs,powersort_style_without_minrun,1.0,50.0,0.01,0.6,0.032,1.6,26828.921423310454,50.0,0.01,0.6,0.032,1.6,26828.921423310454,0.0,0.0,0.0,28600.0,14360.0,1.0,1.0,0.0,0.0
5000,alternating_minrun_large_runs,timsort_style_with_minrun,1.0,50.0,0.01,0.6,0.032,1.6,26828.921423310454,50.0,0.01,0.6,0.032,1.6,26828.921423310454,40.0,0.0,0.0,29400.0,14800.0,1.0,1.0,0.0,0.0
5000,alternating_minrun_large_runs,timsort_style_without_minrun,1.0,50.0,0.01,0.6,0.032,1.6,26828.921423310454,50.0,0.01,0.6,0.032,1.6,26828.921423310454,0.0,0.0,0.0,29400.0,14800.0,1.0,1.0,0.0,0.0
5000,alternating_small_large_raw_runs,powersort_style_with_minrun,1.0,152.0,0.0304,0.9400173615417963,0.0128,1.9456000000000002,32218.483697712618,114.0,0.0228,0.12893657355459698,0.0104,1.1856,34106.137171534305,40.0,0.6152,77.0,34356.0,19080.0,0.75,1.0585891468863788,-0.8110807879871993,-0.002400000000000001
5000,alternating_small_large_raw_runs,powersort_style_without_minrun,1.0,152.0,0.0304,0.9400173615417963,0.0128,1.9456000000000002,32218.483697712618,152.0,0.0304,0.9400173615417963,0.0128,1.9456000000000002,32218.483697712618,0.0,0.0,0.0,36584.0,18168.0,1.0,1.0,0.0,0.0
5000,alternating_small_large_raw_runs,timsort_style_with_minrun,1.0,152.0,0.0304,0.9400173615417963,0.0128,1.9456000000000002,32218.483697712618,114.0,0.0228,0.12893657355459698,0.0104,1.1856,34106.137171534305,40.0,0.6152,77.0,34920.0,18508.0,0.75,1.0585891468863788,-0.8110807879871993,-0.002400000000000001
5000,alternating_small_large_raw_runs,timsort_style_without_minrun,1.0,152.0,0.0304,0.9400173615417963,0.0128,1.9456000000000002,32218.483697712618,152.0,0.0304,0.9400173615417963,0.0128,1.9456000000000002,32218.483697712618,0.0,0.0,0.0,38200.0,19568.0,1.0,1.0,0.0,0.0
5000,balanced_runs,powersort_style_with_minrun,1.0,8.0,0.0016,0.0,0.125,1.0,15000.0,8.0,0.0016,0.0,0.125,1.0,15000.0,40.0,0.0,0.0,15000.0,7500.0,1.0,1.0,0.0,0.0
5000,balanced_runs,powersort_style_without_minrun,1.0,8.0,0.0016,0.0,0.125,1.0,15000.0,8.0,0.0016,0.0,0.125,1.0,15000.0,0.0,0.0,0.0,15000.0,7500.0,1.0,1.0,0.0,0.0
5000,balanced_runs,timsort_style_with_minrun,1.0,8.0,0.0016,0.0,0.125,1.0,15000.0,8.0,0.0016,0.0,0.125,1.0,15000.0,40.0,0.0,0.0,15000.0,7500.0,1.0,1.0,0.0,0.0
5000,balanced_runs,timsort_style_without_minrun,1.0,8.0,0.0016,0.0,0.125,1.0,15000.0,8.0,0.0016,0.0,0.125,1.0,15000.0,0.0,0.0,0.0,15000.0,7500.0,1.0,1.0,0.0,0.0
5000,duplicate_heavy,powersort_style_with_minrun,1.0,2026.2,0.40523999999999993,0.311871494372353,0.0014,2.83832,54617.14212613126,125.0,0.025,0.0,0.008,1.0,34828.92142331048,40.0,1.0,125.0,34880.0,33129.4,0.061691836936136606,0.6376921249903111,-0.311871494372353,0.0066
5000,duplicate_heavy,powersort_style_without_minrun,1.0,2026.2,0.40523999999999993,0.311871494372353,0.0014,2.83832,54617.14212613126,2026.2,0.40523999999999993,0.311871494372353,0.0014,2.83832,54617.14212613126,0.0,0.0,0.0,54974.8,50072.2,1.0,1.0,0.0,0.0
5000,duplicate_heavy,timsort_style_with_minrun,1.0,2026.2,0.40523999999999993,0.311871494372353,0.0014,2.83832,54617.14212613126,125.0,0.025,0.0,0.008,1.0,34828.92142331048,40.0,1.0,125.0,34920.0,33209.8,0.061691836936136606,0.6376921249903111,-0.311871494372353,0.0066
5000,duplicate_heavy,timsort_style_without_minrun,1.0,2026.2,0.40523999999999993,0.311871494372353,0.0014,2.83832,54617.14212613126,2026.2,0.40523999999999993,0.311871494372353,0.0014,2.83832,54617.14212613126,0.0,0.0,0.0,58142.4,53177.6,1.0,1.0,0.0,0.0
5000,exponential_runs,powersort_style_with_minrun,1.0,6.0,0.0012,1.0314730437582942,0.508,3.048,9408.397541720247,6.0,0.0012,1.0314730437582942,0.508,3.048,9408.397541720247,40.0,0.0,0.0,9443.0,4921.0,1.0,1.0,0.0,0.0
5000,exponential_runs,powersort_style_without_minrun,1.0,6.0,0.0012,1.0314730437582942,0.508,3.048,9408.397541720247,6.0,0.0012,1.0314730437582942,0.508,3.048,9408.397541720247,0.0,0.0,0.0,9443.0,4921.0,1.0,1.0,0.0,0.0
5000,exponential_runs,timsort_style_with_minrun,1.0,6.0,0.0012,1.0314730437582942,0.508,3.048,9408.397541720247,6.0,0.0012,1.0314730437582942,0.508,3.048,9408.397541720247,40.0,0.0,0.0,9443.0,4921.0,1.0,1.0,0.0,0.0
5000,exponential_runs,timsort_style_without_minrun,1.0,6.0,0.0012,1.0314730437582942,0.508,3.048,9408.397541720247,6.0,0.0012,1.0314730437582942,0.508,3.048,9408.397541720247,0.0,0.0,0.0,9443.0,4921.0,1.0,1.0,0.0,0.0
5000,many_tiny_runs,powersort_style_with_minrun,1.0,2500.0,0.5,0.0,0.0004,1.0,56438.56189774441,125.0,0.025,0.0,0.008,1.0,34828.92142331048,40.0,1.0,125.0,34880.0,17360.0,0.05,0.6171121348983634,0.0,0.0076
5000,many_tiny_runs,powersort_style_without_minrun,1.0,2500.0,0.5,0.0,0.0004,1.0,56438.56189774441,2500.0,0.5,0.0,0.0004,1.0,56438.56189774441,0.0,0.0,0.0,56808.0,28376.0,1.0,1.0,0.0,0.0
5000,many_tiny_runs,timsort_style_with_minrun,1.0,2500.0,0.5,0.0,0.0004,1.0,56438.56189774441,125.0,0.025,0.0,0.008,1.0,34828.92142331048,40.0,1.0,125.0,34920.0,17160.0,0.05,0.6171121348983634,0.0,0.0076
5000,many_tiny_runs,timsort_style_without_minrun,1.0,2500.0,0.5,0.0,0.0004,1.0,56438.56189774441,2500.0,0.5,0.0,0.0004,1.0,56438.56189774441,0.0,0.0,0.0,58160.0,27304.0,1.0,1.0,0.0,0.0
